"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR44128","2. Poaching / Illegal Harvesting","United States of America","2018-04-01 00:00:00","Acer timber harvested in the Olympic National Forest, Washington - resulting in forest fire - 2 convictions","https://www.justice.gov/usao-wdwa/pr/timber-thief-convicted-following-6-day-trial","Court Record/Observation","https://www.ptleader.com/stories/timber-thief-who-started-forest-fire-convicted-in-federal-court,76367","","","","","According to records filed in the case, between April and August 2018, Justin Andrew Wilke conducted an illegal logging operation in the Elk Lake area of the Olympic National Forest, near Hood Canal.  In July 2018, just days after his release from state prison, another defendant, Shawn Edward Williams, 49, joined the conspiracy, helping Wilke remove maple from the National Forest and transporting it with Wilke to a mill in Tumwater, Washington.","","Conviction","2","2","","1","","","","30","Months"
"MOR44188","1. Seizure","United States of America","2009-10-16 00:00:00","1 leopard skin seized in New York - 1 convicted","https://mg.co.za/article/2010-09-24-farmers-help-to-catch-poachers/","Media","https://www.mlive.com/flintjournal/outdoors/2010/10/south_african_safari_operator.html
https://www.scribd.com/document/234563318/US-vs-Dawie-Groenewald","","","In Premises (either domestic or business)","","","Intelligence","Conviction - court fine & imprisonment","1","1","1","1","30000","USD US Dollar","30000","8","Days"
"MOR44263","1. Seizure","Mexico","2022-01-06 00:00:00","1 tiger cub seized at Mérida International Airport - 1 arrested","https://yucatanmagazine.com/tiger-cub-discovered-inside-a-box-at-meridas-airport/","Media","","Environmental Investigation Agency (EIA)","Air","Other (please specify in Method of Concealment Details field)","","","","Confiscation","","","","","","","","",""
"MOR44387","1. Seizure","United States of America","2015-09-27 00:00:00","1,135 m3 Virola sawnwood seized at Port of Houston, Texas","https://www.justice.gov/opa/pr/us-corporation-sentenced-importing-illegally-sourced-wood-amazon","Government Agency (Other)","","","Lake/River","In Container (as on ship)","","","Investigation","Conviction - court fine","","","1","","5000","USD US Dollar","5000","",""
"MOR44485","9. Enforcement Action / Prosecution","United States of America","2022-05-01 00:00:00","1 suspect charged for illegal logging oak trees Chequamegon-Nicolet National Forest, Wisconsin","https://www.expressnews.com/news/article/Man-accused-of-stealing-timber-faces-federal-17203300.php","Media","","Environmental Investigation Agency (EIA)","","","","","","Charged - No further details","1","1","","","","","","",""
"MOR44758","1. Seizure","China","2019-03-01 00:00:00","5.2 kg of red coral seized in Zhengzhou, Henan (from USA)","https://robindesbois.org/wp-content/uploads/ON_THE_TRAIL_24.pdf","NGO","","","","","","","","Confiscation","","","","","","","","",""
"MOR44768","1. Seizure","Mexico","2019-03-13 00:00:00","500 kg of sea cucumbers and 500 kg of octopus seized in Celestún, Yucatán State - 4 arrested","https://robindesbois.org/wp-content/uploads/ON_THE_TRAIL_24.pdf","NGO","","","","In Premises (either domestic or business)","","Seized from a warehouse.","","Confiscation & arrest","4","","","","","","","",""
"MOR44769","1. Seizure","Mexico","2019-03-15 00:00:00","1,301 sea cucumbers and seahorses seized in Mexico City - 1 arrested","https://robindesbois.org/wp-content/uploads/ON_THE_TRAIL_24.pdf","NGO","","","","In Premises (either domestic or business)","","Seized from two buildings.","","Confiscation & arrest","1","","","","","","","",""
"MOR44770","1. Seizure","Mexico","2019-03-30 00:00:00","12,000 kg of sea cucumbers seized in Manzanillo","https://robindesbois.org/wp-content/uploads/ON_THE_TRAIL_24.pdf","NGO","","","Sea","In Container (as on ship)","","Shipment was declared to contain 'peanuts'.","","Confiscation","","","","","","","","",""
"MOR44796","1. Seizure","United States of America","2022-06-20 00:00:00","2 copperhead snakes seized in Breaux Bridge, Louisiana - 1 charged","https://www.kplctv.com/2022/06/28/breaux-bridge-man-accused-possessing-venomous-snakes/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=kplc","Media","","","","In Premises (either domestic or business)","","Seized from a private residence.","","Charged - No further details","1","1","","","","","","",""
"MOR45062","9. Enforcement Action / Prosecution","United States of America","2021-12-14 00:00:00","1 convicted for wildlife-related crimes in Washington","https://www.eastidahonews.com/2022/01/northern-idaho-man-sentenced-to-months-in-jail-decade-long-hunting-ban-for-poaching-convictions/","Media","","Monitor","","In Premises (either domestic or business)","","Seized from the suspects home.","","Conviction - court fine & imprisonment","1","1","1","1","","","","90","Days"
"MOR45073","1. Seizure","United States of America","2022-01-01 00:00:00","28 waterfowl carcasses seized in Marion County, Florida - 2 charged","https://www.mysuncoast.com/2022/01/20/fwc-makes-bust-waterfowl-poachers-after-investigation/","Media","","Monitor","","","","","Intelligence","Confiscation","2","2","","","","","","",""
"MOR45074","2. Poaching / Illegal Harvesting","United States of America","2022-01-16 00:00:00","2 pronghorn killed and another 2 injured in Crane, Oregon","https://ktvz.com/news/crime-courts/2022/01/21/eastern-oregon-poachers-kill-2-pronghorn-leave-2-others-mortally-wounded-in-thrill-kill/","Media","","Monitor","","","","","","Investigation ongoing","","","","","","","","",""
"MOR45081","1. Seizure","Mexico","2022-07-01 00:00:00","190 animals seized in Black Jaguar-White Tiger sanctuary, San Miguel Ajusco","https://www.eluniversal.com.mx/metropoli/resguardan-santuario-en-el-ajusco-y-rescatan-animales","Media","https://www.nenroll-nenroll.com/news/they-were-taken-out-of-context-founder-of-the-black-jaguar-white-tiger-sanctuary-speaks-about-the-videos-on-networks-that-pointed-out-mistreatment/","","","In Premises (either domestic or business)","","Seized from the Black Jaguar White Tiger sanctuary.","Operation","Confiscation","","","","","","","","",""
"MOR45099","1. Seizure","United States of America","2022-02-01 00:00:00","1 green sturgeon seized in Tracy, California - 1 charged","https://sacramento.cbslocal.com/2022/02/10/endangered-sturgeon-poached-from-tracy-waterway/","Media","","Monitor","Land - Vehicle","Inside Vehicle","","Transported by an SUV.","Intelligence","Charged - No further details","1","1","","","","","","",""
"MOR45100","2. Poaching / Illegal Harvesting","United States of America","2022-02-09 00:00:00","Musk oxen meat seized in Nunapitchuk, Alaska - 3 charged","https://www.kinyradio.com/news/news-of-the-north/three-men-caught-poaching-musk-oxen-in-the-bethel-area/","Media","","Monitor","","","","","","Charged - No further details","3","3","","","","","","",""
"MOR45110","1. Seizure","Mexico","2020-09-01 00:00:00","61 Olive ridley turtle eggs seized in Colima - 1 convicted","https://www.gob.mx/profepa/prensa/vinculan-a-proceso-a-poseedor-de-huevos-de-tortuga-golfina-en-colima","Government Agency (Other)","","","","","","","","Conviction","","","","","","","","",""
"MOR45112","1. Seizure","Mexico","2013-08-01 00:00:00","6 parrots, 2 snaks and 10 songbirds seized in Querétaro","https://www.gob.mx/profepa/prensa/recupera-profepa-aves-reptiles-y-cactaceas?idiom=es","Government Agency (Other)","","","","In Premises (either domestic or business)","","Seized from a private house.","","Confiscation","","","","","","","","",""
"MOR45113","1. Seizure","Mexico","2013-08-01 00:00:00","4 palm plants, 6 orchids and 15 cacti seized in  ""El Tepetate"" Municipal Market, Querétaro","https://www.gob.mx/profepa/prensa/recupera-profepa-aves-reptiles-y-cactaceas?idiom=es","Government Agency (Other)","","","","","","","","Confiscation","","","","","","","","",""
"MOR45115","1. Seizure","Mexico","2013-08-01 00:00:00","5 parrots seized in Xonacatlan, State of Mexico","https://www.gob.mx/profepa/prensa/recupera-profepa-aves-reptiles-y-cactaceas?idiom=es","Government Agency (Other)","","","","","","","","Confiscation","","","","","","","","",""
"MOR45116","1. Seizure","Mexico","2013-08-01 00:00:00","6 songbirds seized in Actopan flea market, Hidalgo","https://www.gob.mx/profepa/prensa/recupera-profepa-aves-reptiles-y-cactaceas?idiom=es","Government Agency (Other)","","","","In Premises (either domestic or business)","","Seized from a flea market.","","Confiscation","","","","","","","","",""
"MOR45117","1. Seizure","Mexico","2013-08-01 00:00:00","32 pieces of taxidermy seized in Apan, Hidalgo","https://www.gob.mx/profepa/prensa/recupera-profepa-aves-reptiles-y-cactaceas?idiom=es","Government Agency (Other)","","","","","","","","Confiscation","","","","","","","","",""
"MOR45165","9. Enforcement Action / Prosecution","Colombia","2022-07-08 00:00:00","Fashion designer arrested for smuggling reptile skin handbags between Colombia and the US","https://www.dailymail.co.uk/news/article-10998583/Fashion-designer-featured-Sex-City-charged-smuggling-10-000-crocodile-handbags.html","Media","https://nypost.com/2023/09/01/sex-and-the-city-bag-designer-extradited-on-smuggling-rap/","","Air","","","","","Arrest","1","","","","","","","",""
"MOR45176","1. Seizure","United States of America","2021-05-01 00:00:00","68 lions, tigers, hybridgs and 1 jaguar seized from Tiger King Park, Thackerville, Oklahoma - 2 suspects","https://www.justice.gov/opa/pr/us-government-seizes-68-protected-big-cats-and-jaguar-jeffrey-and-lauren-lowe","Government Agency (Other)","","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","Seized from the animal park.","","Confiscation","","","","","","","","",""
"MOR45183","3. Smuggling / Illegal Trade (not elsewhere included)","United States of America","2021-05-09 00:00:00","Live tiger seen wandering around in Houston - owner convicted of murder","https://www.click2houston.com/news/local/2022/05/10/victor-cuevas-man-who-fled-west-houston-neighborhood-with-tiger-in-2021-sentenced-in-murder-conviction/","Media","","Environmental Investigation Agency (EIA)","","","","","","No details given","","","","","","","","",""
"MOR45239","1. Seizure","United States of America","2009-11-23 00:00:00","71 ivory carvings seized - 1 convicted","https://www.justice.gov/archive/usao/nye/pr/2010/2010dec15c.html","Government Agency (Other)","","","Air","In Postal Parcel (at postal depot or sorting office)","Amongst other goods","The carvings were hidden inside the hollow cavities of wooden and metal handicrafts.","","Conviction - court fine & imprisonment","1","1","1","1","25000","USD US Dollar","25000","33","Months"
"MOR45618","1. Seizure","United States of America","2018-01-01 00:00:00","1 leopard carcass seized in California - 1 convicted","https://www.eastbaytimes.com/2018/07/03/super-sorry-california-man-who-hunted-endangered-leopard-gets-10k-fine-probation/","Media","","","","In Premises (either domestic or business)","","Suspect engaged in a sophisticated plan to get it into the United States, first sneaking it into Mozambique through a tire, paying for a permit to hunt leopards there, then lying to U.S. officials about where the creature had been hunted. He was caught after bragging about the incident to undercover agents in 2016, court records show. Leopard was seized from the suspects house.","","Conviction - court fine","1","1","1","","10000","USD US Dollar","10000","",""
"MOR45844","1. Seizure","Belgium","2015-02-01 00:00:00","8 skulls and 8 skins of Maxwell's Duiker, Bay Duiker, and Zebra Duiker seized in Belgium","https://ec.europa.eu/environment/cites/pdf/2015_overview_important_seizures_in_EU.pdf","TRAFFIC Publication","","","Air","In Freight (as on plane)","","Detected at an airport.","Routine Inspection","Confiscation","","","","","","","","",""
"MOR46035","1. Seizure","United Kingdom of Great Britain and Northern Ireland","2019-02-01 00:00:00","104 ivory piano keys seized in UK","https://ec.europa.eu/environment/cites/pdf/reports/EU-seizures-report-March%202021.pdf","TRAFFIC Publication","","","Sea","In Container (as on ship)","","Transported by sea freight.","Risk Assessment","Confiscation","","","","","","","","",""
"MOR46044","1. Seizure","United Kingdom of Great Britain and Northern Ireland","2000-01-25 00:00:00","72 ivory carvings (78 kg) seized at Gatwick Airport - 1 arrested in USA","https://www.traffic.org/site/assets/files/9287/traffic_bulletin_march_1997_-_october_2019.pdf","TRAFFIC Publication","","Environmental Investigation Agency (EIA)","Air","","Amongst other goods","concealed among wooden handicrafts","","Confiscation & arrest","","","","","","","","",""
"MOR46677","1. Seizure","South Africa","2022-06-01 00:00:00","8 kg rhino horn pieces seized in South Africa","https://www.dffe.gov.za/mediarelease/creecy_259rhinopoached","Government Agency (Other)","","Environmental Investigation Agency (EIA)","","In Postal Parcel (at postal depot or sorting office)","Appearance modified","Concealed as wooden art pieces.","","Confiscation","","","","","","","","",""
"MOR46830","9. Enforcement Action / Prosecution","Thailand","2022-06-29 00:00:00","1 arrested for alleged 70 kg rhino horn smuggling in Bangkok - 1 convicted","https://www.aljazeera.com/news/2022/10/8/malaysian-extradited-to-us-over-alleged-rhinoceros-horn-smuggling","Media","https://worldanimalnews.com/malaysian-wildlife-trafficker-teo-boon-ching-is-arrested-in-thailand-for-smuggling-elephant-ivory-rhino-horns-pangolin-scales-into-asia/
https://www.justice.gov/usao-sdny/pr/us-attorney-announces-extradition-malaysian-national-large-scale-trafficking-rhinoceros
https://www.justice.gov/usao-sdny/pr/teo-boon-ching-sentenced-18-months-prison-large-scale-trafficking-rhinoceros-horns","","","In Personal Baggage","","These horns were delivered in a suitcase in Thailand by those working for the wildlife trafficking organization.","","Conviction - imprisonment","1","1","","1","","","","18","Months"
"MOR47030","1. Seizure","Kenya","2022-07-19 00:00:00","8 African baobabs seized in Tezo, Kilifi - 3 charged","https://nation.africa/kenya/counties/kilifi/biopiracy-environmentalists-confront-plundering-of-baobab-trees-in-kilifi-3982114","Media","","","Sea","","","Foreigners were illegally uprooting the trees in the daylight and loading them onto their trucks. They were also building a jetty at the Bofa Beach for shipping the baobabs.","","Charged - Pending court case","3","3","","","","","","",""
"MOR47613","3. Smuggling / Illegal Trade (not elsewhere included)","Cambodia","2022-09-01 00:00:00","3,000 long-tailed macaques smuggled from national parks & protected areas - 8 charged","https://www.theguardian.com/world/2022/nov/17/cambodian-wildlife-official-among-eight-charged-in-us-with-smuggling-endangered-monkeys","Media","https://thediplomat.com/2022/11/cambodian-forestry-official-arrested-in-us-over-alleged-monkey-smuggling-scheme/
https://www.justice.gov/usao-sdfl/pr/cambodian-officials-and-six-co-conspirators-indicted-taking-part-primate-smuggling","","","","","","","Charged - No further details","8","8","","","","","","",""
"MOR48268","5. Animal Injury / Mortality / Welfare","United States of America","2017-10-01 00:00:00","5 tiger cubs killed at Oklahoma zoo - 1 convicted","https://www.foxnews.com/us/joe-exotic-oklahoma-zookeeper-who-ran-for-governor-is-convicted-in-murder-for-hire-plot","Media","https://www.justice.gov/usao-wdok/pr/joe-exotic-sentenced-22-years-murder-hire-and-violating-lacey-act-and-endangered","","","","","","","Conviction - imprisonment","1","1","","1","","","","5","Years"
"MOR48596","1. Seizure","Hong Kong","2023-02-17 00:00:00","1200 kg of dried shark fins seized at Hong Kong International Airport","https://www.info.gov.hk/gia/general/202302/18/P2023021700687.htm?fontSize=1","Government Agency (Other)","","","Air","In Freight (as on plane)","","","Risk Assessment","Confiscation","","","","","","","","",""
"MOR4879","9. Enforcement Action / Prosecution","Canada","2006-07-07 00:00:00","Canadian company convicted in wildlife trafficking","http://www.traffic.org/home/2009/2/19/canadian-firm-convicted-of-trading-in-tiger-parts.html","NGO","http://www.canada.com/story.html?id=1747be52-1bdf-4c0d-b6a1-c6a3b41adf6d   [LINK NO LONGER WORKS]","","","","","","","Conviction - court fine","","1","1","","45000","CAD Canadian Dollar","36182.4","",""
"MOR4882","9. Enforcement Action / Prosecution","United States of America","2013-02-03 00:00:00","Two suspects convicted for smuggling rhino horn from US to Hong Kong and China","http://iipdigital.usembassy.gov/st/english/article/2013/02/20130215142698.html","NGO","https://www.cjnotebook.com/ringleader-international-rhino-smuggling-conspiracy-sentenced-trafficking-wildlife/?print=print","","","In Postal Parcel (at postal depot or sorting office)","Amongst other goods","Rhino horns were concealed in porcelain vases","","Conviction - court fine & imprisonment","2","2","2","2","","","250000","310","Months"
"MOR4896","3. Smuggling / Illegal Trade (not elsewhere included)","United States of America","2014-11-28 00:00:00","Antique trader in court over trafficking prohibited wildlife - New York","http://www.wgrz.com/news/crime/franklinville-man-pleads-guilty-to-trafficking-prohibited-wildlife/45487554  [LINK NO LONGER WORKS]","Media","http://news.nationalgeographic.com/2016/02/160218-US-ivory-wildlife-trafficking-smuggling/  [LINK NO LONGER WORKS]
http://www.oleantimesherald.com/news/franklinville-antiques-dealer-receives-k-fine-for-ivory-smuggling/article_df23f146-1e41-11e6-a4d5-6729735c6855.html  [LINK NO LONGER WORKS]","","Land - Vehicle","","","Methods and Trade Route refelct one of the cases: On 28/11/2015 the suspect hid the tusk in his car in Ontario and drove them over to the US at the Niagara Falls Rainbow Bridge. He was detected because of a raid at the Canadian auction house, IEGOR Hôtel des encans de Montréal, where he whowed up in paperwork buying the tusks.","Investigation","Conviction - court fine","1","1","1","","30000","USD US Dollar","30000","",""
"MOR4901","9. Enforcement Action / Prosecution","United States of America","2016-02-01 00:00:00","US Lumber Liquidators Inc. Sentenced for Illegal Importation of Hardwood from Russian Far East - Mongolian oak","https://www.justice.gov/opa/pr/lumber-liquidators-inc-sentenced-illegal-importation-hardwood-and-related-environmental","Government Agency (Other)","https://www.sciencenews.org/article/rosewood-forensics-fight-wildlife-trafficking-black-market-furniture","","","","","declared Mongolian oak as Welsh oak; imported merpauh from Myanmar which it declared to be mahogany from Indonesia","","Conviction - court fine","","1","1","","","","7800000","",""
"MOR49123","1. Seizure","Hong Kong","2023-03-03 00:00:00","1.2 kg of dried totoaba swim bladders seized at Hong Kong Internationl Airport - 1 convicted","https://www.info.gov.hk/gia/general/202304/13/P2023041300492.htm?fontSize=1","Government Agency (Other)","https://www.thestandard.com.hk/breaking-news/section/4/202557/Woman-caught-possessing-dried-totoaba-fish-maw-jailed-six-months","","Air","In Freight (as on plane)","","Discovered in air express parcel","Routine Inspection","Conviction - imprisonment","1","1","","1","","","","6","Months"
"MOR49496","9. Enforcement Action / Prosecution","United States of America","2022-04-19 00:00:00","3 charged for attempted smuggling of 2 tusks from Oklahoma to Texas","https://www.msn.com/en-us/news/crime/oklahoma-man-2-others-accused-of-illegally-transporting-elephant-ivory-tusks-into-tyler/ar-AA13bTWx","Media","","Environmental Investigation Agency (EIA)","Land - Vehicle","","","","","Charged - No further details","3","3","","","","","","",""
"MOR49499","1. Seizure","United States of America","2021-05-07 00:00:00","ivory items seized from residence in Indiana - 1 arrested","http://www.wbiw.com/2021/05/06/loogootee-man-arrested-after-investigators-found-child-porn-stolen-crane-explosives-and-ivory/","NGO","","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","","","Confiscation & arrest","1","","","","","","","",""
"MOR49581","1. Seizure","South Africa","2019-06-01 00:00:00","15,000 succulents seized from nursery in Gqeberha, Western Cape - 3 arrested (1 convicted)","https://www.heraldlive.co.za/news/2023-01-20-illegal-succulent-trader-ordered-to-pay-r100000-to-wilderness-foundation/","Media","https://www.heraldlive.co.za/weekend-post/your-weekend/2022-05-21-couple-hauled-up-on-plant-smuggling-charges/
Court Documents","","","In Premises (either domestic or business)","","","Intelligence","Conviction - court fine & imprisonment","3","3","1","1","50000","ZAR South African Rand","2901.32","78","Months"
"MOR49655","1. Seizure","United States of America","2023-03-23 00:00:00","29 Amazon parrot eggs seized at Miami International Airport - 1 arrested","https://phys.org/news/2023-05-scientists-trafficked-endangered-parrots-chance.html","Media","https://timesofindia.indiatimes.com/world/mad-mad-world/chirping-sounds-lead-airport-officials-to-bag-filled-with-smuggled-parrot-eggs/articleshow/100515206.cms","","Air","In Personal Baggage","","Found in carry-on luggage. ","Targeting","Conviction","1","","","","","","","",""
"MOR49685","1. Seizure","United States of America","2023-05-23 00:00:00","ivory, whale & walrus teeth & turtle shells seized from antique shop in Wailuku, Hawaii - 1 charged","https://www.yahoo.com/news/maui-man-arrested-possession-trafficking-213200503.html","Media","https://www.hawaiipublicradio.org/local-news/2023-05-25/maui-antique-shop-raided-for-selling-ivory-turtle-shells","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","","","Charged - Bail granted","1","1","","","","","","",""
"MOR49710","1. Seizure","United States of America","2021-09-08 00:00:00","ivory seized from luggage in Miami Airport - 1 convicted","https://www.justice.gov/usao-sdfl/pr/miami-art-dealer-sentenced-51-months-prison-smuggling-ivory","Government Agency (Other)","","Environmental Investigation Agency (EIA)","Air","In Personal Baggage","","","","Conviction - court fine & imprisonment","1","1","1","1","20000","USD US Dollar","20000","51","Months"
"MOR49951","1. Seizure","United States of America","2018-07-15 00:00:00","2 Burmese pythons seized in New York State - 1 charged","https://www.ctvnews.ca/world/man-charged-with-smuggling-pythons-in-his-pants-at-canada-u-s-border-1.6098925","Media","","","Land - Vehicle","On Person","Under worn clothing","In his trousers","","Charged - Pending court case","1","1","","","","","","",""
"MOR49978","1. Seizure","United States of America","2023-04-13 00:00:00","270 totoaba swim bladders (110 kg) seized at Nogales Port of Entry, Arizona","https://edition.cnn.com/2023/06/18/us/cbp-arizona-seize-endangered-fish-swim-bladders-trnd/index.html","Media","https://www.excelsior.com.mx/nacional/vaquita-marina-decomisan-garita-arizona-90-buches-totoaba/1614517?amp","","Sea","In Container (as on ship)","Amongst other goods","Discovered in commercial shipment of frozen fish pellets","","Confiscation","","","","","","","","",""
"MOR50099","1. Seizure","Mexico","2015-01-01 00:00:00","1 python seized from parcel in San Luis Potosi State","https://www.gob.mx/profepa/prensa/rescata-profepa-ejemplar-de-piton-bola-que-pretendia-ser-enviado-por-paqueteria-de-jalisco-a-tlaxcala?idiom=es","Government Agency (Other)","","","","In Postal Parcel (at postal depot or sorting office)","","Package labled ""food supplement""","","Confiscation","","","","","","","","",""
"MOR50101","1. Seizure","Mexico","2023-04-01 00:00:00","10 tigers, 5 lions & 6 jaguars seized in Jalisco","https://apnews.com/article/mexico-drug-traffickers-tigers-lions-0073cfda55760269e095af9de7713fc9","Media","","","","","","","","Confiscation & arrest","","","","","","","","",""
"MOR50103","1. Seizure","Mexico","2021-08-01 00:00:00","3 toucans seized in Mexico City Metropolitan Area","https://twitter.com/PROFEPA_Mx/status/1434984634568241157","Government Agency (Other)","","","","In Premises (either domestic or business)","","found in property","","Confiscation","","","","","","","","",""
"MOR50104","1. Seizure","Mexico","2021-10-01 00:00:00","4 live coyotes seized in Mexico State","https://twitter.com/PROFEPA_Mx/status/1447937082962423811","Government Agency (Other)","","","","","","","Intelligence","Confiscation","","","","","","","","",""
"MOR50105","1. Seizure","Mexico","2021-10-01 00:00:00","67 cacti seized from market in Queretaro","https://twitter.com/PROFEPA_Mx/status/1453538255723446276","Government Agency (Other)","","","","In Premises (either domestic or business)","","seized in market","Intelligence","Confiscation","","","","","","","","",""
"MOR50106","1. Seizure","Mexico","2022-04-01 00:00:00","1 owl & 1 iguana seized in Querétaro","https://twitter.com/PROFEPA_Mx/status/1517655158448177152","Government Agency (Other)","","","","In Premises (either domestic or business)","","in residence","Intelligence","Confiscation","","","","","","","","",""
"MOR50107","1. Seizure","Mexico","2022-04-01 00:00:00","1 toucanet seized in Iztapalapa, Mexico City","https://twitter.com/PROFEPA_Mx/status/1518671070567583745","Government Agency (Other)","","","","In Premises (either domestic or business)","","","Intelligence","Confiscation","","","","","","","","",""
"MOR50109","1. Seizure","Mexico","2022-04-01 00:00:00","2 live parrots seized from residence in Yucatan","https://twitter.com/PROFEPA_Mx/status/1519465194010861569","Government Agency (Other)","","","","In Premises (either domestic or business)","","kept in aviary at a residence","","Confiscation","","","","","","","","",""
"MOR50110","1. Seizure","Mexico","2015-06-01 00:00:00","21 m3 timber seized in Manzanillo Interior Port, Manzanillo, Colima","https://www.colimanoticias.com/incautan-cargamento-de-madera-ilegal-que-pretendian-exportar-por-el-puerto/","Media","","","","In Container (as on ship)","","","","Confiscation","","","","","","","","",""
"MOR50138","1. Seizure","Mexico","2016-02-01 00:00:00","8 ducks seized in Cienegas de Lerma, Mexico State","https://www.gob.mx/profepa/prensa/asegura-profepa-08-ejemplares-de-vida-silvestre-a-cazador-furtivo-en-anp-cienegas-de-lerma?idiom=es","Media","","","","","","","Routine Inspection","Confiscation","","","","","","","","",""
"MOR50141","1. Seizure","Mexico","2018-03-01 00:00:00","7 chameleons, 2 turtles & 1 frog seized in San Luis Potosi","https://www.gob.mx/profepa/prensa/asegura-profepa-10-ejemplares-de-vida-silvestre-en-empresa-de-paqueteria-del-interpuerto-de-s-l-p","Government Report","","","","In Postal Parcel (at postal depot or sorting office)","","","Routine Inspection","Confiscation","","","","","","","","",""
"MOR50144","1. Seizure","Mexico","2016-08-01 00:00:00","12 kg deer meat seized from vehicle in La Paz","https://www.gob.mx/profepa/prensa/asegura-profepa-12-kg-de-carne-de-venado-en-carretera-la-paz-todos-santos-b-c-s?idiom=es","Government Agency (Other)","","","Land - Vehicle","Inside Vehicle","Amongst other goods","in a cooler with venison mixed with pork.","Intelligence","Confiscation","","","","","","","","",""
"MOR50145","1. Seizure","Mexico","2015-01-01 00:00:00","7,765 kg agave seized in Nombre de Dios, Durango State","https://www.gob.mx/profepa/prensa/asegura-profepa-13-mil-995-kilogramos-de-agave-en-durango?idiom=es","Government Agency (Other)","","","","","","","Operation","Confiscation","","","","","","","","",""
"MOR50149","1. Seizure","Mexico","2015-01-01 00:00:00","6,200 kg agave seized in Durango Municipality","https://www.gob.mx/profepa/prensa/asegura-profepa-13-mil-995-kilogramos-de-agave-en-durango?idiom=es","Government Agency (Other)","","","Land - Vehicle","Inside Vehicle","","Found in 3 seperate cars","Operation","Confiscation","","","","","","","","",""
"MOR50150","1. Seizure","Mexico","2015-04-01 00:00:00","14 birds in Ciudad Victoria, Tamaulipas","https://www.gob.mx/profepa/prensa/asegura-profepa-14-aves-que-eran-transportadas-ilegalmente-en-ciudad-victoria-tamaulipas?idiom=es","Government Agency (Other)","","","Land - Vehicle","Inside Vehicle","","","","Confiscation","","","","","","","","",""
"MOR50152","1. Seizure","Mexico","2016-04-01 00:00:00","14 crocodile skins seized in Jalpa de Méndez municipality, Tabasco","https://www.gob.mx/profepa/prensa/asegura-profepa-14-pieles-de-cocodrilo-que-pretendian-ser-enviadas-ilegalmente-a-chihuahua?idiom=es","Government Agency (Other)","","","","In Postal Parcel (at postal depot or sorting office)","","Parcel labeled as guayaberas (a type of shirt)","Intelligence","Confiscation","","","","","","","","",""
"MOR50153","1. Seizure","Mexico","2017-04-01 00:00:00","1,540 sea cucumbers seized along Sonoyta-San Luis Río Colorado highway","https://www.gob.mx/profepa/prensa/asegura-profepa-1-540-ejemplares-de-pepino-de-mar-en-sonora?idiom=es","Government Agency (Other)","","","Land - Vehicle","Inside Vehicle","","","Routine Inspection","Confiscation","","","","","","","","",""
"MOR50154","1. Seizure","Mexico","2017-01-01 00:00:00","15 birds seized from restaurant in Tultepec Municipality, Mexico State","https://www.gob.mx/profepa/prensa/asegura-profepa-15-aves-en-restaurante-de-tultepec-estado-de-mexico?idiom=es","Government Agency (Other)","","","","In Premises (either domestic or business)","","Seized from restaurant","Intelligence","Confiscation","","","","","","","","",""
"MOR50157","1. Seizure","Mexico","2017-01-01 00:00:00","180 wildlife specimens seized in Puerto Marqués, Acapulco de Juárez Municipality, Guerro State","https://www.gob.mx/profepa/prensa/asegura-profepa-180-ejemplares-de-vida-silvestre-y-pone-a-disposicion-del-mpf-a-2-personas-en-acapulco?idiom=es","Government Report","","","","","","","","Confiscation","","","","","","","","",""
"MOR50159","1. Seizure","Mexico","2017-01-01 00:00:00","17 armadillos seized in Puero Marques - 1 charged","https://www.gob.mx/profepa/prensa/asegura-profepa-180-ejemplares-de-vida-silvestre-y-pone-a-disposicion-del-mpf-a-2-personas-en-acapulco?idiom=es","Customs","","","","","","","Operation","Charged - No further details","1","1","","","","","","",""
"MOR50160","1. Seizure","Mexico","2017-01-01 00:00:00","1 crocodile seized in Puerto Marqués - 1 charged","https://www.gob.mx/profepa/prensa/asegura-profepa-180-ejemplares-de-vida-silvestre-y-pone-a-disposicion-del-mpf-a-2-personas-en-acapulco?idiom=es","Government Agency (Other)","","","","","","","Operation","Charged - No further details","1","1","","","","","","",""
"MOR50161","1. Seizure","Mexico","2021-08-01 00:00:00","1,350 tortoises, 14 chameleons, 1 bearded dragon & 4 snakes seized in Baja California","https://twitter.com/PROFEPA_Mx/status/1430994710756270080","Government Agency (Other)","","","","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
