"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR27974","1. Seizure","Mexico","2020-02-01 00:00:00","5.5 kg of totoaba meat seized at Ciudad Juárez International Airport","https://www.gob.mx/profepa/prensa/resguarda-profepa-lomo-de-totoaba-en-aeropuerto-de-ciudad-juarez","Government Agency (Other)","","C4ADS Air Seizure Database","Air","In Freight (as on plane)","","The parcel indicated the total weight of 4kg when the total weight was 5.5kg.","","Confiscation","","","","","","","","",""
"MOR27994","9. Enforcement Action / Prosecution","United States of America","2019-10-01 00:00:00","Irish national extradited to USA pleads guilty to Rhino horn trafficking","https://www.justice.gov/usao-sdfl/pr/irish-national-extradited-united-states-united-kingdom-pleads-guilty-trafficking","Government Agency (Other)","","","Air","","","","Operation","Conviction - imprisonment","","1","","1","","","","38","Months"
"MOR28059","1. Seizure","United States of America","1993-06-29 00:00:00","312  boa constrictors seized in Miami International Airport, some of the snakes were stuffed with drugs- 1 suspect convicted.","https://www.sun-sentinel.com/news/fl-xpm-1993-07-03-9301220086-story.html","Media","","","Air","In Freight (as on plane)","","The snakes where found in cloth bags contained in plastic foam boxes. They were loaded into a van at the airport.","X-ray","Conviction - imprisonment","1","1","","1","","","","100","Years"
"MOR28378","1. Seizure","China","2019-03-26 00:00:00","2 ivory necklaces (0.12 kg) seized at Jinan International Mail Processing Centre","https://baijiahao.baidu.com/s?id=1629325266226864497&wfr=spider&for=pc","Media","","Wildlife Conservation Society (WCS)","Air","In Postal Parcel (at postal depot or sorting office)","","Parcel was declared to contain 'trinkets'","X-ray","Confiscation","","","","","","","","",""
"MOR28382","1. Seizure","China","2019-04-11 00:00:00","1 ivory beaded necklace (0.0072 kg) seized at Zhanjiang Airport","http://www.dzwww.com/xinwen/guoneixinwen/201904/t20190416_18621564.htm","Media","","Wildlife Conservation Society (WCS)","","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR28401","1. Seizure","China","2019-03-26 00:00:00","1 ivory necklace (0.0156 kg) seized from post in Shanghai","https://finance.sina.com.cn/roll/2019-03-27/doc-ihtxyzsm1003442.shtml","Media","","Environmental Investigation Agency (EIA)","","In Postal Parcel (at postal depot or sorting office)","","","X-ray","Confiscation","","","","","","","","",""
"MOR28556","1. Seizure","Mexico","2018-04-01 00:00:00","1 adult tiger and 1 spider monkey seized from a residence in Chetumal, Quinta Roo","https://www.riviera-maya-news.com/federal-agents-seize-chained-tiger-monkey-from-private-home/2018.html","Media","","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","Seized from a private residence. Profepa reported that the owner of the animals did not have any of the necessary permits, nor were the animals registered with the Ministry of Environment and Natural Resources.","","Confiscation","","","","","","","","",""
"MOR28584","1. Seizure","Mexico","2018-11-01 00:00:00","Tiger cub seized in Hermosillo","https://www.elimparcial.com/sonora/sonora/Rescata-a-tigre-de-un-empeno-20191112-0033.html","Media","","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","Tiger cub was taken from a pawn shop used for photos.","","Confiscation","","","","","","","","",""
"MOR28585","1. Seizure","Mexico","2018-10-01 00:00:00","2 lions and 1 tiger seized from a property in Ciudad Juarez, Chihuahua","https://www.informador.mx/mexico/Leona-ataca-a-su-dueno-dentro-de-una-casa-en-Ciudad-Juarez-20181009-0156.html","Media","","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","The animals were not registered. They were seized from a private residence.","","Confiscation & arrest","","","","","","","","",""
"MOR28587","1. Seizure","Mexico","2018-12-01 00:00:00","Female tiger cub seized from a restaurant in Mexico City","https://www.express.co.uk/news/nature/1056988/siberian-tiger-rescue-mexico-city-restaurant","Media","","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","Seized from a restaurant.","","Confiscation","","","","","","","","",""
"MOR28590","1. Seizure","United States of America","2018-12-12 00:00:00","Rhino & elephant products seized in Oakdale, Minnesota - 2 arrested","https://www.startribune.com/feds-seize-rhinoceros-elephant-parts-from-oakdale-home/503867462/","Media","","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","Seized from suspects' residence.","Investigation","Confiscation & arrest","2","1","1","","40000","USD US Dollar","40000","",""
"MOR2861","1. Seizure","China","2014-08-01 00:00:00","12 ivory carvings (3.386 kg) seized in Jiangmen - 4 parcels sent from the USA","http://maomw.com/a/zhongbangtupian/zhongbang/2014/0820/9765.html  [LINK NO LONGER WORKS]","Media","","","Air","In Postal Parcel (at postal depot or sorting office)","","declared as shoes and clothing","X-ray","Confiscation","","","","","","","","",""
"MOR28672","1. Seizure","United States of America","2019-05-01 00:00:00","132 Totoaba swim bladders seized in Orange County, California - 2 arrested","https://news.mongabay.com/2019/06/chinese-nationals-arrested-in-us-after-smuggling-totoaba-swim-bladders-worth-3-7-million-from-mexico/","Media","","World Customs Organization (WCO)","Land - Vehicle","Inside Vehicle","","The authorities pulled over the vehicle for speeding and the suspects were acting suspiciously which led the officials to search the car with a sniffer dog suspecting drugs. The totoaba were found concealed in boxes within the car.","Dogs","Confiscation & arrest","2","","","","","","","",""
"MOR28697","1. Seizure","India","2012-03-09 00:00:00","3,650 kg wood bark seized at Chennai Port","http://wccb.gov.in/WriteReadData/userfiles/file/CITES-AR-12-IN.pdf","CITES Management Authority","","Wildlife Conservation Society (WCS)","Sea","","","","","Confiscation","","","","","","","","",""
"MOR28805","1. Seizure","United States of America","2016-03-16 00:00:00","5 dried seahorse seized inside a liquor bottle in Michigan","https://www.wwlp.com/news/tsa-found-dead-seahorses-in-liquor-bottle-in-carry-on-bag/","Media","","","Air","In Personal Baggage","","","","Confiscation","","","","","","","","",""
"MOR28960","1. Seizure","Spain","2018-04-01 00:00:00","6 live Keel-billed toucans seized","https://www.traffic.org/site/assets/files/12745/eu-seizures-report-2020-final-web.pdf","TRAFFIC Publication","","","Air","","","Detected due to physical inspection.","Routine Inspection","Confiscation","","","","","","","","",""
"MOR28964","1. Seizure","United Kingdom of Great Britain and Northern Ireland","2018-10-01 00:00:00","69 kg of sturgeon caviar seized","https://www.traffic.org/site/assets/files/12745/eu-seizures-report-2020-final-web.pdf","TRAFFIC Publication","","","Air","In Freight (as on plane)","","","Routine Inspection","Confiscation","","","","","","","","",""
"MOR28971","1. Seizure","Germany","2018-02-01 00:00:00","405 kg of shark fins seized","https://www.traffic.org/site/assets/files/12745/eu-seizures-report-2020-final-web.pdf","TRAFFIC Publication","","","Air","In Freight (as on plane)","","","Routine Inspection","Confiscation","","","","","","","","",""
"MOR28979","1. Seizure","United Kingdom of Great Britain and Northern Ireland","2018-11-01 00:00:00","20 butterfly bodies seized","https://www.traffic.org/site/assets/files/12745/eu-seizures-report-2020-final-web.pdf","TRAFFIC Publication","","","Air","In Postal Parcel (at postal depot or sorting office)","","Risk assessment.","Other","Confiscation","","","","","","","","",""
"MOR28985","1. Seizure","Colombia","2020-03-01 00:00:00","2,000 Mata-mata turtles seized at Alfredo Vázquez Cobo International Airport","https://www.antena3.com/noticias/mundo/rescatan-a-miles-de-tortugas-en-colombia_202003095e660af524692800019fe5fa.html","Media","https://10daily.com.au/news/crime/a200308couzl/watch-thousands-of-baby-turtles-saved-from-animal-trafficking-by-sniffer-dog-20200308","C4ADS Air Seizure Database","Air","","","","","Confiscation","","","","","","","","",""
